Ville;Région;Pays;Zone géographique;ID Zone Géo
Neu-Ulm;Bavière;Allemagne;Centre;2
Hanovre;Basse-Saxe;Allemagne;Centre;2
Borken;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Bottrop;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Castrop-Rauxel;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Cologne;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Villingen-Schwenningen;Bade-Wurtemberg;Allemagne;Centre;2
Heidelberg;Bade-Wurtemberg;Allemagne;Centre;2
Rostock;Mecklembourg-Poméranie;Allemagne;Centre;2
Schweinfurt;Bavière;Allemagne;Centre;2
Darmstadt;Hesse;Allemagne;Centre;2
Detmold;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Passau;Bavière;Allemagne;Centre;2
Dinslaken;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Günzburg;Bavière;Allemagne;Centre;2
Gera;Thuringe;Allemagne;Centre;2
Dormagen;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Flensbourg;Schleswig-Holstein;Allemagne;Centre;2
Dorsten;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Friedberg;Hesse;Allemagne;Centre;2
Dortmund;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Fribourg-en-Brisgau;Bade-Wurtemberg;Allemagne;Centre;2
Erlangen;Bavière;Allemagne;Centre;2
Cottbus;Brandebourg;Allemagne;Centre;2
Rosenheim;Bavière;Allemagne;Centre;2
Neunkirchen;Sarre;Allemagne;Centre;2
Mannheim;Bade-Wurtemberg;Allemagne;Centre;2
Greifswald;Mecklembourg-Poméranie;Allemagne;Centre;2
Ratisbonne;Bavière;Allemagne;Centre;2
